state,district,crop,year,season,area_hectares,Area Units,production_tonnes,Production Units,yield_kg_per_hectare,subdivision,year_num
Maharashtra,PARBHANI,Gram,2017-18,Rabi,107869.0,Hectare,67192.0,Tonnes,622.9037072745646,Matathwada,2017
Maharashtra,PARBHANI,Gram,2018-19,Rabi,53829.99999999999,Hectare,38500.0,Tonnes,715.2145643693109,Matathwada,2018
Maharashtra,PUNE,Gram,2016-17,Rabi,80500.0,Hectare,86500.0,Tonnes,1074.5341614906831,Madhya Maharashtra,2016
Maharashtra,PUNE,Gram,2017-18,Rabi,90303.0,Hectare,102700.0,Tonnes,1137.2822608329732,Madhya Maharashtra,2017
Maharashtra,PUNE,Gram,2018-19,Rabi,83400.0,Hectare,61400.0,Tonnes,736.2110311750599,Madhya Maharashtra,2018
Maharashtra,RAIGAD,Gram,2016-17,Rabi,900.0,Hectare,800.0,Tonnes,888.8888888888888,Konkan & Goa,2016
Maharashtra,SANGLI,Gram,2016-17,Rabi,28300.0,Hectare,23600.0,Tonnes,833.922261484099,Madhya Maharashtra,2016
Maharashtra,SANGLI,Gram,2017-18,Rabi,29400.0,Hectare,26900.0,Tonnes,914.9659863945578,Madhya Maharashtra,2017
Maharashtra,SANGLI,Gram,2018-19,Rabi,17310.0,Hectare,11900.0,Tonnes,687.4638937030618,Madhya Maharashtra,2018
Maharashtra,SATARA,Gram,2016-17,Rabi,32000.0,Hectare,25600.0,Tonnes,800.0,Madhya Maharashtra,2016
Maharashtra,SATARA,Gram,2017-18,Rabi,31000.0,Hectare,28900.0,Tonnes,932.258064516129,Madhya Maharashtra,2017
Maharashtra,SATARA,Gram,2018-19,Rabi,27520.0,Hectare,24900.0,Tonnes,904.796511627907,Madhya Maharashtra,2018
Maharashtra,SOLAPUR,Gram,2016-17,Rabi,56500.0,Hectare,38100.0,Tonnes,674.3362831858407,Madhya Maharashtra,2016
Maharashtra,SOLAPUR,Gram,2017-18,Rabi,68249.0,Hectare,46100.0,Tonnes,675.467772421574,Madhya Maharashtra,2017
Maharashtra,SOLAPUR,Gram,2018-19,Rabi,50690.0,Hectare,28100.0,Tonnes,554.3499704083646,Madhya Maharashtra,2018
Maharashtra,THANE,Gram,2016-17,Rabi,1400.0,Hectare,1300.0,Tonnes,928.5714285714286,Konkan & Goa,2016
Maharashtra,THANE,Gram,2017-18,Rabi,1400.0,Hectare,1200.0,Tonnes,857.1428571428571,Konkan & Goa,2017
Maharashtra,THANE,Gram,2018-19,Rabi,1110.0,Hectare,1000.0,Tonnes,900.9009009009008,Konkan & Goa,2018
Maharashtra,WARDHA,Gram,2016-17,Rabi,29600.0,Hectare,33800.0,Tonnes,1141.891891891892,Vidarbha,2016
Maharashtra,WARDHA,Gram,2017-18,Rabi,31400.0,Hectare,36800.0,Tonnes,1171.9745222929937,Vidarbha,2017
Maharashtra,WASHIM,Gram,2016-17,Rabi,55100.0,Hectare,49700.0,Tonnes,901.9963702359348,Vidarbha,2016
Maharashtra,WASHIM,Gram,2017-18,Rabi,49600.0,Hectare,35100.0,Tonnes,707.6612903225806,Vidarbha,2017
Maharashtra,WASHIM,Gram,2018-19,Rabi,64590.0,Hectare,56400.0,Tonnes,873.2001857872735,Vidarbha,2018
Maharashtra,YAVATMAL,Gram,2016-17,Rabi,147700.0,Hectare,109100.0,Tonnes,738.6594448205822,Vidarbha,2016
Maharashtra,YAVATMAL,Gram,2017-18,Rabi,94100.0,Hectare,75000.0,Tonnes,797.0244420828906,Vidarbha,2017
Maharashtra,YAVATMAL,Gram,2018-19,Rabi,99180.0,Hectare,112000.0,Tonnes,1129.2599314377899,Vidarbha,2018
Maharashtra,AHMEDNAGAR,Gram,2019-20,Rabi,97038.0,Hectare,82529.0,Tonnes,850.4812547661741,Madhya Maharashtra,2019
Maharashtra,AURANGABAD,Gram,2019-20,Rabi,62754.99999999999,Hectare,63036.0,Tonnes,1004.477730858099,Matathwada,2019
Maharashtra,BEED,Gram,2019-20,Rabi,57617.99999999999,Hectare,57360.0,Tonnes,995.5222326356347,Matathwada,2019
Maharashtra,BHANDARA,Gram,2019-20,Rabi,17551.0,Hectare,12267.0,Tonnes,698.9345336448065,Vidarbha,2019
Maharashtra,CHANDRAPUR,Gram,2019-20,Rabi,41619.0,Hectare,34463.0,Tonnes,828.0592998390158,Vidarbha,2019
Maharashtra,GADCHIROLI,Gram,2019-20,Rabi,13538.999999999998,Hectare,10778.0,Tonnes,796.0706108279786,Vidarbha,2019
Maharashtra,GONDIA,Gram,2019-20,Rabi,8743.0,Hectare,3429.0,Tonnes,392.19947386480607,Vidarbha,2019
Maharashtra,HINGOLI,Gram,2019-20,Rabi,90216.0,Hectare,94151.0,Tonnes,1043.61754012592,Matathwada,2019
Maharashtra,JALNA,Gram,2019-20,Rabi,29420.0,Hectare,30081.0,Tonnes,1022.4677090414684,Matathwada,2019
Maharashtra,KOLHAPUR,Gram,2019-20,Rabi,4557.0,Hectare,4834.0,Tonnes,1060.7856045644064,Madhya Maharashtra,2019
Maharashtra,LATUR,Gram,2019-20,Rabi,181313.0,Hectare,203875.0,Tonnes,1124.436747502937,Matathwada,2019
Maharashtra,NAGPUR,Gram,2019-20,Rabi,61265.0,Hectare,56723.0,Tonnes,925.8630539459723,Vidarbha,2019
Maharashtra,NANDURBAR,Gram,2019-20,Rabi,32014.0,Hectare,31413.0,Tonnes,981.2269632035984,Madhya Maharashtra,2019
Maharashtra,NASHIK,Gram,2019-20,Rabi,63084.0,Hectare,52623.0,Tonnes,834.1734829750809,Madhya Maharashtra,2019
Maharashtra,OSMANABAD,Gram,2019-20,Rabi,196818.0,Hectare,177959.0,Tonnes,904.1805119450455,Matathwada,2019
Maharashtra,PALGHAR,Gram,2019-20,Rabi,997.0,Hectare,726.0,Tonnes,728.1845536609829,Konkan & Goa,2019
Maharashtra,PARBHANI,Gram,2019-20,Rabi,58221.0,Hectare,51901.0,Tonnes,891.448102918191,Matathwada,2019
Maharashtra,PUNE,Gram,2019-20,Rabi,82442.0,Hectare,88439.0,Tonnes,1072.7420489556293,Madhya Maharashtra,2019
Maharashtra,RAIGAD,Gram,2019-20,Rabi,1290.0,Hectare,539.0,Tonnes,417.82945736434107,Konkan & Goa,2019
Maharashtra,RATNAGIRI,Gram,2019-20,Rabi,211.0,Hectare,101.0,Tonnes,478.6729857819905,Konkan & Goa,2019
Maharashtra,SANGLI,Gram,2019-20,Rabi,22047.0,Hectare,19322.0,Tonnes,876.4004172903342,Madhya Maharashtra,2019
Maharashtra,SATARA,Gram,2019-20,Rabi,28312.0,Hectare,27602.0,Tonnes,974.9222944334558,Madhya Maharashtra,2019
Maharashtra,SOLAPUR,Gram,2019-20,Rabi,66926.0,Hectare,54322.0,Tonnes,811.6725936108537,Madhya Maharashtra,2019
Maharashtra,THANE,Gram,2019-20,Rabi,1276.0,Hectare,894.0,Tonnes,700.626959247649,Konkan & Goa,2019
Maharashtra,WARDHA,Gram,2019-20,Rabi,41741.0,Hectare,42329.0,Tonnes,1014.086869025658,Vidarbha,2019
Maharashtra,WASHIM,Gram,2019-20,Rabi,60153.0,Hectare,55415.0,Tonnes,921.2341861586289,Vidarbha,2019
Maharashtra,AHMEDNAGAR,Gram,1997-98,Kharif,40800.0,Hectare,18600.0,Tonnes,455.8823529411764,Madhya Maharashtra,1997
Maharashtra,AHMEDNAGAR,Gram,1998-99,Rabi,59600.0,Hectare,40900.0,Tonnes,686.2416107382551,Madhya Maharashtra,1998
Maharashtra,AHMEDNAGAR,Gram,1999-00,Rabi,55300.0,Hectare,34600.0,Tonnes,625.6781193490054,Madhya Maharashtra,1999
