Name,subdivision,year,JAN,FEB,MAR,APR,MAY,rain_june,rain_july,rain_august,rain_september,OCT,NOV,DEC,annual_rainfall,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,monsoon_rainfall,normal_annual_rainfall,rainfall_deviation_pct
ROW2887,Matathwada,2002,5.5,4.1,0.7,6.1,8.5,241.8,58.2,223.6,122.4,46.4,4.8,0.0,722.0999999999997,9.6,15.3,646.0,51.2,19.1033404,77.24397107,646.0,791.7316239316239,-8.79
ROW2888,Matathwada,2003,2.1,1.3,2.3,4.9,28.5,117.6,255.9,183.9,95.7,22.1,4.9,0.8,720.0,3.4000000000000004,35.7,653.1,27.8,19.1033404,77.24397107,653.1,791.7316239316239,-9.06
ROW2889,Matathwada,2004,1.2,0.4,5.5,1.9,30.4,100.0,201.7,75.0,177.2,58.1,27.2,0.0,678.6,1.6,37.8,553.9,85.3,19.1033404,77.24397107,553.9,791.7316239316239,-14.29
ROW2890,Matathwada,2005,13.2,0.7,11.6,1.6,2.1,59.7,413.5,124.1,213.5,100.5,0.0,0.0,940.5,13.9,15.3,810.8,100.5,19.1033404,77.24397107,810.8,791.7316239316239,18.79
ROW2891,Matathwada,2006,0.0,0.0,30.7,1.6,26.7,134.7,116.2,301.3,209.4,47.7,4.6,0.0,872.9000000000003,0.0,59.0,761.6,52.3,19.1033404,77.24397107,761.6,791.7316239316239,10.25
ROW2892,Matathwada,2007,0.0,0.0,0.1,0.7,10.0,185.4,123.1,146.2,240.7,0.9,7.5,0.0,714.6,0.0,10.8,695.4,8.4,19.1033404,77.24397107,695.4,791.7316239316239,-9.74
ROW2893,Matathwada,2008,0.1,0.1,14.6,3.7,1.8,66.7,106.5,150.8,267.8,33.8,0.3,0.1,646.3,0.2,20.1,591.8,34.2,19.1033404,77.24397107,591.8,791.7316239316239,-18.37
ROW2894,Matathwada,2009,0.0,0.0,0.6,0.8,7.0,63.1,139.2,167.6,159.9,59.0,63.3,8.4,668.8999999999999,0.0,8.4,529.8,130.7,19.1033404,77.24397107,529.8,791.7316239316239,-15.51
ROW2895,Matathwada,2010,4.3,5.8,3.9,0.7,4.6,119.7,329.5,291.4,157.3,57.7,36.8,0.0,1011.7,10.1,9.2,897.8999999999999,94.5,19.1033404,77.24397107,897.8999999999999,791.7316239316239,27.78
ROW2896,Matathwada,2011,0.0,3.8,0.7,3.5,3.1,79.2,230.1,228.5,90.0,24.8,0.0,0.0,663.6999999999998,3.8,7.300000000000002,627.8,24.8,19.1033404,77.24397107,627.8,791.7316239316239,-16.17
ROW2897,Matathwada,2012,0.0,0.0,0.0,0.6,2.3,72.2,161.1,101.4,120.0,68.8,0.3,0.0,526.6999999999998,0.0,2.9,454.70000000000016,69.1,19.1033404,77.24397107,454.70000000000005,791.7316239316239,-33.47
ROW2898,Matathwada,2013,1.5,9.4,2.6,7.9,6.4,160.9,293.4,136.9,154.1,94.3,7.4,13.1,887.9,10.9,16.9,745.3,114.8,19.1033404,77.24397107,745.3,791.7316239316239,12.15
ROW2899,Matathwada,2014,1.4,13.4,79.0,11.9,7.0,30.4,105.0,178.9,84.5,14.2,19.9,3.3,548.9,14.8,97.9,398.8,37.39999999999999,19.1033404,77.24397107,398.8,791.7316239316239,-30.67
ROW2900,Matathwada,2015,10.1,1.6,32.0,39.6,12.3,118.3,27.4,112.2,154.3,19.5,4.8,0.0,532.0999999999998,11.7,83.89999999999998,412.2,24.3,19.1033404,77.24397107,412.2,791.7316239316239,-32.79
ROW2901,Matathwada,2016,0.0,3.1,10.8,3.0,6.3,157.3,276.1,89.2,302.3,100.8,0.0,0.2,949.1,3.1,20.1,824.9000000000003,101.0,19.1033404,77.24397107,824.9000000000001,791.7316239316239,19.88
ROW2902,Matathwada,2017,0.0,0.0,4.7,0.0,3.3,182.3,82.5,230.4,146.9,100.4,2.4,2.7,755.6,0.0,8.0,642.1,105.5,19.1033404,77.24397107,642.1,791.7316239316239,-4.56
ROW2903,Vidarbha,1901,36.8,39.9,30.9,26.1,7.3,129.7,295.3,368.8,123.4,35.2,0.0,0.0,1093.4,76.69999999999997,64.3,917.2,35.2,20.85850732,79.27644168,917.1999999999999,1093.5470085470085,-0.01
ROW2904,Vidarbha,1902,1.6,0.1,0.0,6.5,4.1,38.0,270.7,204.7,150.9,29.6,16.1,26.7,749.0000000000001,1.7000000000000002,10.6,664.3,72.4,20.85850732,79.27644168,664.3,1093.5470085470085,-31.51
ROW2905,Vidarbha,1903,5.2,4.0,0.1,2.5,37.8,121.2,475.5,325.5,154.8,100.8,2.0,0.0,1229.4,9.2,40.4,1077.0,102.8,20.85850732,79.27644168,1077.0,1093.5470085470085,12.42
ROW2906,Vidarbha,1904,4.3,2.4,12.9,0.2,14.8,148.9,158.3,151.8,196.9,61.7,0.0,0.9,753.1,6.6999999999999975,27.9,655.9000000000002,62.6,20.85850732,79.27644168,655.9000000000001,1093.5470085470085,-31.13
ROW2907,Vidarbha,1905,7.3,12.7,12.4,16.2,14.0,81.0,254.5,216.3,321.3,6.0,0.2,0.0,941.9,20.0,42.6,873.0999999999997,6.2,20.85850732,79.27644168,873.0999999999999,1093.5470085470085,-13.87
ROW2908,Vidarbha,1906,12.9,3.3,11.9,0.2,6.1,328.1,350.4,325.8,113.3,6.9,14.3,18.1,1191.3,16.2,18.2,1117.6,39.3,20.85850732,79.27644168,1117.6,1093.5470085470085,8.94
ROW2909,Vidarbha,1907,3.6,52.9,3.7,45.3,1.6,181.4,309.7,332.6,59.7,0.2,15.7,4.3,1010.7000000000004,56.5,50.6,883.4000000000003,20.2,20.85850732,79.27644168,883.4000000000001,1093.5470085470085,-7.58
ROW2910,Vidarbha,1908,4.1,15.5,13.5,5.7,1.5,232.0,355.2,398.4,205.9,7.8,0.0,3.9,1243.5000000000002,19.6,20.7,1191.5,11.7,20.85850732,79.27644168,1191.5,1093.5470085470085,13.71
ROW2911,Vidarbha,1909,1.3,10.0,4.8,31.5,17.9,157.1,405.0,176.0,160.3,7.3,0.0,90.6,1061.8,11.3,54.2,898.4000000000003,97.9,20.85850732,79.27644168,898.4000000000001,1093.5470085470085,-2.9
ROW2912,Vidarbha,1910,0.0,0.0,0.0,0.1,10.0,289.1,297.4,278.7,300.3,57.7,60.8,0.0,1294.1,0.0,10.1,1165.5,118.5,20.85850732,79.27644168,1165.5,1093.5470085470085,18.34
ROW2913,Vidarbha,1911,18.2,0.0,2.2,0.0,2.6,218.0,205.9,292.3,176.1,27.5,39.9,0.0,982.7,18.2,4.800000000000002,892.3000000000003,67.4,20.85850732,79.27644168,892.3000000000001,1093.5470085470085,-10.14
ROW2914,Vidarbha,1912,0.6,49.3,0.2,6.1,7.2,54.2,364.5,391.9,117.0,6.9,15.6,0.5,1014.0,49.9,13.5,927.6,23.0,20.85850732,79.27644168,927.5999999999999,1093.5470085470085,-7.27
ROW2915,Vidarbha,1913,0.0,24.9,4.0,1.8,17.2,199.8,378.3,244.3,137.2,17.4,0.3,27.4,1052.6,24.9,23.0,959.6,45.1,20.85850732,79.27644168,959.6000000000001,1093.5470085470085,-3.74
ROW2916,Vidarbha,1914,0.0,13.4,12.8,39.1,15.9,239.5,341.2,245.6,266.6,6.1,5.7,13.1,1199.0,13.4,67.80000000000001,1092.9,24.9,20.85850732,79.27644168,1092.9,1093.5470085470085,9.64
ROW2917,Vidarbha,1915,33.3,9.1,65.9,18.9,13.1,190.2,311.0,229.6,195.2,111.0,7.4,15.0,1199.7,42.4,97.9,926.0,133.4,20.85850732,79.27644168,926.0,1093.5470085470085,9.71
ROW2918,Vidarbha,1916,0.0,14.4,0.8,2.2,21.7,257.0,345.3,306.2,253.1,124.1,37.4,0.0,1362.2,14.4,24.7,1161.6,161.5,20.85850732,79.27644168,1161.6,1093.5470085470085,24.57
ROW2919,Vidarbha,1917,0.9,78.5,20.6,11.5,48.9,234.9,350.1,200.3,328.5,120.9,1.7,0.0,1396.8000000000006,79.4,81.0,1113.8,122.6,20.85850732,79.27644168,1113.8,1093.5470085470085,27.73
ROW2920,Vidarbha,1918,2.5,2.9,3.1,0.2,83.1,278.3,168.0,174.5,55.5,3.4,16.8,13.2,801.5,5.4,86.39999999999998,676.3,33.4,20.85850732,79.27644168,676.3,1093.5470085470085,-26.71
ROW2921,Vidarbha,1919,55.8,37.0,15.9,6.3,19.9,325.6,280.3,249.8,103.6,98.0,19.3,1.1,1212.5999999999997,92.8,42.1,959.3,118.4,20.85850732,79.27644168,959.3000000000001,1093.5470085470085,10.89
ROW2922,Vidarbha,1920,26.7,0.3,5.2,6.2,4.8,101.8,237.8,111.7,83.3,0.5,0.0,0.0,578.3,27.0,16.2,534.6,0.5,20.85850732,79.27644168,534.6,1093.5470085470085,-47.12
ROW2923,Vidarbha,1921,20.3,0.1,0.0,2.6,0.0,283.9,293.0,292.0,182.3,11.3,0.2,0.0,1085.7,20.4,2.6,1051.2,11.5,20.85850732,79.27644168,1051.2,1093.5470085470085,-0.72
ROW2924,Vidarbha,1922,33.8,2.3,0.0,3.8,5.1,206.1,361.7,116.5,295.3,4.7,80.3,0.3,1109.9,36.1,8.899999999999997,979.6,85.3,20.85850732,79.27644168,979.5999999999999,1093.5470085470085,1.5
ROW2925,Vidarbha,1923,1.0,6.7,30.6,3.4,2.3,21.4,402.9,201.1,260.1,11.0,0.1,0.7,941.3,7.7,36.3,885.5,11.8,20.85850732,79.27644168,885.5,1093.5470085470085,-13.92
ROW2926,Vidarbha,1924,21.3,0.5,4.4,6.2,3.2,43.8,308.3,220.6,217.3,126.9,33.6,8.1,994.2000000000004,21.8,13.8,790.0,168.6,20.85850732,79.27644168,790.0,1093.5470085470085,-9.08
ROW2927,Vidarbha,1925,0.0,0.0,7.3,5.4,28.0,130.3,293.9,307.2,77.4,21.8,61.5,8.4,941.1999999999996,0.0,40.7,808.8,91.7,20.85850732,79.27644168,808.8,1093.5470085470085,-13.93
ROW2928,Vidarbha,1926,59.5,5.7,23.7,15.1,34.4,31.8,330.6,420.0,109.9,38.7,1.3,0.6,1071.3,65.2,73.19999999999997,892.3000000000003,40.6,20.85850732,79.27644168,892.3000000000001,1093.5470085470085,-2.03
ROW2929,Vidarbha,1927,0.7,10.0,12.2,2.0,2.2,280.2,414.7,220.1,97.7,51.5,70.4,5.7,1167.4,10.7,16.4,1012.7,127.6,20.85850732,79.27644168,1012.7,1093.5470085470085,6.75
ROW2930,Vidarbha,1928,0.2,43.1,5.9,0.2,2.2,177.8,296.2,185.2,180.1,108.5,0.1,17.8,1017.3,43.3,8.3,839.3000000000003,126.4,20.85850732,79.27644168,839.3000000000001,1093.5470085470085,-6.97
ROW2931,Vidarbha,1929,3.8,52.6,0.7,11.8,0.7,170.9,263.5,157.4,193.1,28.2,0.0,29.8,912.5,56.4,13.2,784.9,58.0,20.85850732,79.27644168,784.9,1093.5470085470085,-16.56
